"YER","ريال يمني"
"SAR","ريال سعودي"
"USD","دولار امريكي"
"YemenExpress","يمن اكسبرس"
"Al-emtiyaz","الامتياز"
"Al-najm","النجم"
"WeCash","وي كاش"
"Main User","المستخدم الرئيسي"
"Branch","الفرع"
"Skip SSL Verify","تخطي التحقق من SSL"
"Remittance","حوالة"
"More Details","تفاصيل أكثر"
"Offer Detail","تفاصيل العرض"
"Applicable To (User)","التطبيق على (المستخدم)"
"Send Notification","إرسال ملاحظات"
"Authentication Type","نوع المصادقة"
"Approving Role (above authorized value)","اعتمادية القاعدة (أعلى من القيمة المسموحة)"
"Bulk Payment Template","قالب المدفوعات الجماعية"
"Phone Number","رقم الهاتف"
"Notes","ملاحظات"
"Fee Currency","عملة العمولة"
"Authorized Value","القيمة المعتمدة"
"Wallet Bulk Payment Transactions","عمليات المدفوعات الجماعية"
"Amounts","المبالغ"
"Amount","المبلغ"
"Wallet User","مستخدم المحفظة"
"Offers","العروض"
"Wallet Payment Log","سجل الدفع الفردية"
"Company Wallet Configration","إعدادات الشركة"
"Voucher No","رقم المستند"
"Payment Channel","قناة الدفع"
"Main User Role","دور المستخدم الرئيسي"
"Wallet Company","محفظة الشركة"
"About and Help","من نحن والمساعدة"
"Transactions","العمليات"
"Create Company","إنشاء شركة"
"Per","لكل"
"Recipient Phone","رقم المستلم"
"area","المنطقة"
"Bulk Transaction","المعاملات الجماعية"
"X Coordinate","إحداثيات الموقع الأفقي (X)"
"Fee Amount","مبلغ العمولة"
"Express Number","رقم الإكسبرس"
"Company Location","موقع الشركة"
"List View","عرض القائمة"
"Applicable To (Wallet User)","التطبيق على (مستخدم المحفظة)"
"Remittance Provider","مزود خدمة الشبكة"
"Offer Type","نوع العرض"
"Offer Name","اسم العرض"
"Approving User (above authorized value)","الموافقة على المستخدم (فوق القيمة المسموحة)"
"Applicable To (Role)","التطبيق على (القاعدة)"
"Wallet Payment","الدفع الفردية"
"Agent","وكيل"
"Role Allowed To Update API Wallet","الدور المسموح له بتحديث محفظة واجهة برمجة التطبيقات (API)"
"Bulk Payment Details","تفاصيل المدفوعات الجماعية"
"Content not found for the subject: {subject}","{subject} لا يوجد محتوى لهذا العنوان "
"Cancel {name} done successfully","تم بنجاح الغاء المستند {name}"
"Bulk Payment Template not found","هذا النموذج غير موجود"
"No Data Found!","لا توجد بيانات!"
"No Data Offers Found!","لا توجد بيانات"
"No offers have been seen yet!","لا توجد عروض تم مشاهدتها بعد!"
"There is no phone prefix in <a href='{url}' target='_blank'>{name}</a> doctype","<a href='{url}' target='_blank'>{name}</a> لا توجد بادئة لأرقام الهاتف في الجدول "
"Row #{idx}: Phone number length must be {phone_length} digits","رقما {phone_length} طول رقم الهاتف يجب أن يكون #{idx}: الصف"
"Row #{idx}: Phone number must start with {prefixes}","{prefixes} رقم الهاتف يجب أن يبدأ بــ #{idx}: الصف "
"Error: Value missing for {0}: {1}"," {0}: {1} القيمة مفقودة لـ "
"Please enter Approving Role or Approving User","يرجى إدخال دور او صلاحية صحيحة او مستخدم مخول"
"Approving User cannot be same as user the rule is Applicable To","المستخدم المخول لايمكن أن يكون نفس مستخدم الصلاحية في ال -التطبيق لـ -"
"Approving Role cannot be same as role the rule is Applicable To","الصلاحية المخولة لا يمكن ان تكون نفس صلاحية الدور في ال - التطبيق لـ -"
""Choose Currency Field","اختر حقل العملة"
"Cannot get currency review option of {field} in customize"," في التخصيص {field} لا يمكن الحصول على العملة راجع خيارات "
"Failed to send notification!, see error log for more details","فشل عملية ارسال الاشعار, يرجى مراجعة سجل الخطأ لمزيد من التفاصيل"
"Can't delete payment channel","الحذف غير ممكن!"
"Cann't delete Remittance Provider!","الحذف غير ممكن"
"Can't cancel bulk payments after submit","لا يمكنك الحذف بعد الاعتماد!"
"Wallet Identifier can't be changed","الرقم التعريفي للمحفظة لا يمكن تغييره!"
"Not allowed to create {doctype} directly, create through api","api يجب الانشاء عبر الـ,{doctype} لا يمكنك انشاء "
"Error Creating Wallet Company on network","خطأ أثناء انشاء محفظة الشركة على الشبكة"
"Token Updated successfully","تم تحديث التوكن بنجاح"
"Set {field} in {doctype} first","أولا {doctype} في الجدول {field} ضع قيمة للحقل "
"Error Updating API User on network","حدث خطأ أثناء التحديث على الشبكة"
"Error Updating Wallet User on network","حدث خطأ أثناء تحديث مستخدم المحفظة على الشبكة"
"Wallet Company {wallet_company} is disabled","محفظة الشركة غير مفعلة"
"Duplicate entries found in the child table at row(s): {rows}","{rows} هناك تكرار في إدخال البيانات للجدول في الصف "
"Status field is mandatory!","حقل الحالة إلزامي!"
"Cannot set status to Draft when submitting!","لا يمكن للحالة أن تكون مسودة عند الاعتماد"
"Can't cancel payment after submit","لا يمكن الغاء المستند بعد الاعتماد"
"Can't send payment request","لا يمكن ارسال طلب الدفع"
"User can't be on different Wallet Company {wallet_company} from creater's wallet company {creator_wallet_company}","{creator_wallet_company} غير التي ينتمي إليها  {wallet_company} لا يمكن للمستخدم أن يكون على محفظة شركة أخرى "
"An unknown error occurred.","حدث خطأ غير معروف"
"There is no statements data!","لا توجد بيانات لسجل العمليات المالية"
"Failed to connect to server {server}","{server} فشل الاتصال بالسيرفر "
"Set Status to Approved first!, please.","يرجى أولا تحديد الحالة الى موافق عليه"
"Get commission creation is queued. It may take a few minutes","عملية جلب العمولات ستأخذ بعض الوقت."
"Cannot submit payment while commission or customer info is missing!","لا يمكن اعتماد العملية بينما العمولة او بيانات المستلم مفقودة!"
"Insufficient balance. Required: {0}, Available: {1}","الرصيد غير كافي لإتمام هذه العملية: المطلوب {0}, المتوفر: {1}"
"Incorrect password","كلمة المرور غير صحيحة."
"Failed to update the password.","فشلت عملية تحديث كلمة المرور."
"This is NOT your first login, and you cannot reset the password using this method.","لا يمكنك تحديث كلمة المرور بهذا الطريقة ، هذا ليس تسجيل دخولك الأول!"
"Device ID not found for this user! check it and try again.","رقم الجهاز غير موجود في هذا المستخدم يرجى التحقق وإعادة المحاولة."
"New password cannot be the same as the old password","كلمة المرور الجديدة لا يمكن أن تكون نفس كلمة المرور القديمة"
"Checking balance, please wait...","جاري التحقق من رصيد المحفظة ، يرجى الانتظار..."
"Balance checked successfully.","تمت عملية التحقق بنجاح."
"Successfully Done.","تم بنجاح."
"Get Customers Names, please wait...","...جاري الاستعلام عن اسماء المستفيدين ، يرجى الانتظار"
"Successfully retrieved customer info.","تمت عملية الاستعلام بنجاح."
"Create Query Reference","إنشاء استعلام"
"Check Balance","التحقق من الرصيد"
"Get Customer Info","استعلام اسماء المستفيدين"
"Get Commissions","الاستعلام عن العمولات"
"Creating Date From Wallet Provider","تاريخ فتح حساب الشركة لدى مزود المحفظة"
"App Url In Play Store","رابط التطبيق في المتجر"
"Wallet Company Statement","تقرير سجل عمليات محفظة الشركة"
"Wallet Company Balance","تقرير أرصدة محفظة الشركة"
"Wallet User Transaction Log","تقرير سجل عمليات المستخدم"
"Wallet Company Account Statement","تقرير كشف حساب محفظة الشركة"
"Opening Balance","الرصيد الافتتاحي"
"Currency","العملة"
"Transaction Date","تاريخ العملية"
"Transaction Type","نوع العملية"
"Transaction Issuer Ref","الرقم المرجعي للعملية"
"Debit","دائن"
"Credit","مدين"
"Balance","الرصيد"
"Posting Date","تاريخ الإنشاء"
"Recipient Name","اسم المستلم/المستفيد"
"Transaction Number","رقم العملية"
"Total Amount","إجمالي المبلغ"
"Total Fee Amount","إجمالي مبلغ العمولة"
"Account Name","اسم الحساب"
"Account Number","رقم الحساب"
"Remark","ملاحظة"
"Transaction D/C","العملية دائن / مدين"
"Receiver Name","اسم المستلم/المستفيد"
"Reciever Mobile","رقم المستلم/المستفيد"
"Sender Name","اسم المرسل"
"Bill Ref","رقم المرجعي للفاتورة"
"Business partner","شريك الأعمال"
"Reference of ﻹransaction",""رقم العملية"
"Wallet Source","المصدر"
"Wallet Destination","الجهة"
"Point Of Service",""نقطة البيع"
"Internal User",""المستخدم الداخلي"
"External User",""المستخدم الخارجي"
"Commission","العمولة"
"Amount In Words","المبلغ كتابتاً"
"User","المستخدم"
"Bulk Edit Download Template","نموذج تعديل قالب المدفوعات الجماعية"
"Device Info Log","سجل بيانات الجهاز"
"Wallet Company Transaction Log","سجل عمليات حساب محفظة الشركة"
"Show Express Number","إظهار رقم الاكسبرس"
"You are not authorized to view this information."ليس لديك صلاحية للاستعلام عن هذه المعلومات! "
"There is no express number for this query maybe it's failed or still in progress!","لا يوجد رقم اكسبرس ، قد تكون العملية فشلت أو قيد المعالجة!"
"This is your first login, please login from mobile app","هذا تسجيل دخولك الأول ، يرجى تسجيل الدخول من التطبيق أولا"
"Your account has been disabled after {0} consecutive failed login attempts.","تم تعطيل وحظر حسابك نظراً لتجاوزك عدد المحاولات المسموح به."
"Template Name","اسم القالب"
"Company Logo","شعار الشركة"
"Default Currency","العملة الافتراضية"
"Minimum App Version","أقل نسخة مسموح بها"
"Version Matched Number","رقم النسخة المطابق"
"App Logo","شعار الشركة للموقع"
"Splash Image","صورة شاشة التحميل"
"About","من نحن"
"Session Expiry (idle timeout)","وقت انتهاء الجلسة"
"Allow only one session per use","السماح بجلسة واحدة لكل مستخدم"
"Disable Document Sharing","تعطيل مشاركة المستندات"
"Allow Login using Mobile Number","السماح بتسجيل الدخول باستخدام رقم الهاتف"
"Login with email link","السماح بتسجيل الدخول عبر رابط الايميل"
"File Template Settings","إعدادات قالب الملفات"
"Allowed File Extensions","امتداد الملفات المسموح بها"
"Strip EXIF tags from uploaded images","إزالة علامات EXIF ​​من الصور التي تم تحميلها"
"Force Web Capture Mode for Uploads","فرض وضع التقاط الويب للتحميلات"
"Server URL","رابط السيرفر"
"Favorate Icon","الايقونة المفضلة"
"Initialize Password","تهيئة كلمة المرور"
"Create New Password","إنشاء كلمة مرور جديدة"
"Approving User (above authorized value)","المستخدم المخول(تجاوز القاعدة)"
"enabled","تمكين"
"Reports","التقارير"
"Offers And Views","العروض والاشعارات"
"Offer Type","نوع العرض"
"Offer Detail","تفاصيل العرض"
"Offer Seen Log","سجل مشاهدة العرض"
"Wallet Company Payments","مدفوعات محفظة الشركة"
"Bulk Payment Template",نموذج قالب المدفوعات الجماعية"
"Wallet Bulk Payment","المدفوعات الجماعية"
"Wallet Payment","المدفوعات الفردية"
"Wallet Payment Log","سجل المدفوعات"
"Payment Query Reference","الاستعلام عن عمليات المدفوعات"
"Wallet Company Settings","إعدادات محفظة الشركة"
"Company Wallet Configration","تهيئة بيانات الاتصال الخاصة بالمحفظة"
"Company Location","مواقع الشركة"
"Wallet Company","محفظة الشركة"
"Wallet User","مستخدم المحفظة"
"Multi Authorization Rule","صلاحيات عمليات المستخدم"
"Payment Channel","قناة الدفع"
"Remittance Provider","مزود الحوالات"
"New Wallet Bulk Payment","مدفوعات جماعية جديد"
"New Wallet Payment","مدفوعات فردية جديد"
"Welcome","مرحبا بكم "
"Wallet Company System","نظام الشركات للمحافظ"
"Company Operation","العمليات"
"Mapping Selection","تحديد من الخريظة"
"Wallet Transfer","تحويل لمحفظة"
"Payments","المدفوعات الفردية"
"Bulk","المدفوعات الجماعية"
"Wallet Identifier","معرف المحفظة"
"Dummy","تجريبي"
"Wallet Company System","نظام ادارة الشركات"
"Create Wallet Company","انشاء شركة جديده"
"Main Module Profile","ملف الشركة الرئيسي"
"Company User","مساحة العمل"
"New Wallet Bulk Payment","مدفوعات جماعية جديد"
"Wallet User not found for the specified user.","المستخدم غير موجود!"
"Reset Password OTP","إعادة تعيين كلمة المرور"
"Your OTP for reset password is: {otp}. It will expire in 5 minutes!","كود التحقق الخاص بتعيين كلمة المرور هو: {otp} ,  ينتهي خلال خمس دقائق!"
"Email address not found for Wallet User.","ايميل المستخدم غير موجود!"
"Check your mail inbox.","يرجى التحقق من صندوق البريد الالكتروني"
"Password set successfully.","تم تعيين كلمة المرور بنجاح"
"Invalid OTP or OTP has expired","كود التحقق خطأ أو أنه منتهي الصلاحية"
"Description","البيان / الملاحظة"
"Wallet Provider","مزود الخدمة"
"Connections","وصول سريع"
"Disabled","غير نشط"
"Enabled","نشط"
"Wallet Identifier","رقم المحفظة"
"Filter","فلتر"
"ID","رقم الهاتف"
"Add Wallet User","إضافة مستخدم جديد"
"Sub User","مستخدم فرعي"
"Wallet Company Balance","إجمالي رصيد الحساب"
"Wallet Payment Log","سجل المدفوعات الناجحة"
"Bulk Payment Template","قوالب المدفوعات الجماعية"
"Multi Authorization Rule","إداراة صلاحيات المستخدمين"
"Wallet User","إعدادات المستخدمين"
"BULK PAYMENTS","المدفوعات الجماعية"
"Welcome","مرحباً"
"System Configration","إعدادات النظام"
"About And Help","من نحن والمساعدة"
"Wallet Reports","تقارير المحفظة"
"Jawali Payments","مدفوعات جوالي"
"Wallet Company","إعدادات الحساب الرئيسي للشركة"
"Roles & Permissions","الادوار والصلاحيات"
"New Workspace","مساحة عمل جديدة"
"Indicator color","لون المؤشر"
"Create Workspace","إنشاء مساحة عمل"
"Company Operation","عمليات الشركة"
"Log out","تسجيل الخروج"
"User Details","تفاصيل المستخدم"
"Basic Info","المعلومات الأساسية"
"User Mobile No","رقم الهاتف"
"User Firstname","الأسم الأول للمستخدم"
"User Lastname","الأسم الأخير للمستخدم"
"Your Shortcuts","إختصارات"
"Reports & Masters","الإدارة والتقارير"
"Tools","الأدوات"
"Alerts and Notifications","الإشعارات والتنبيهات"
"Documents","الوثائق"
"All Currencies","كل العملات"
"Phone Settings","إعدادات رقم الهاتف"
"Registration Steps","خطوات التسجيل"
"Default Wallet Provider","المزود اﻹفتراضي للمحفظة"
"Master Setup","اﻹعدادات الرئيسية"
"Transaction Type","نوع العملية"
"Wallet User Transaction Log","تقرير عمليات المستخدم"
"Welcome","مرحبا"
"Company","الشركة"
"Transaction","العمليات"
"Undo","تراجع للخلف"
"Change Wallet Company","تغيير حساب الشركة"
"Wallet Main User","المستخدم الرئيسي للشركة"
"Remind Me In","ذكرني خلال"
"Remind At","ذكرني في"
"Wallet Reviewer","المراجع"
"Update Wallet Password","تحديث كلمة سر المحفظة"
"Wallet Checker","المدقق"
"Update Authentication Token","تحديث رمز المصادقة"
"Wallet Maker","المنشئ"
"Update API User","تهيئة مستخدم بيانات الاتصال"
"Redo","تراجع للأمام"
"Create a Reminder","إنشاء تذكير"
"Excel","اكسل"
"Your Initial Password: {0}, Please change your password after login","كلمة المرور المؤقتة الخاصة بك :{0}، يرجى تغييرها بعد تسجيل الدخول"
"Action Confirm Message","إعدادات رسائل التأكيد عند الاعتماد"
"<p>Calculation commissions have been done!</p>","تم احتساب العمولات بنجاح!"
"Get Bulk Customer Names have been done!","تم الاستعلام عن اسماء المستفيدين بنجاح!"
"Not authorized since {0} exceeds limits ,but can be approved by {1}","ولكن يمكن اعتمادها فقط من بواسطة {1} لقد تجاوزت الحد المسموح {0}"
"Your transaction status is: {0}","تم إرسال العملية بنجاح، حالة  العملية : {0}."
"Can't send payment request without fee currency","لا يمكنك ارسال عملية الدفع بدون وجود عمولة العملية أولا!"
"Receiver Phone Number","رقم هاتف المستفيد/المستلم"
"Report initiated, click to view status","تم انشاء التقرير.. انقر هنا لاستعراض حالة الانشاء"
"In progress","قيد العمل"
"Approved","موافق عليه"
"Success","نجاح"
"Rejected","مرفوضة"
"Failed","فاشلة"
"Draft","مسودة"
"Not Found","لا يوجد"
"Total","الإجمالي"
"Transaction ID","رقم المستند"
"Remittance","تحويل حوالة"
"Deduct Commission From Amount","خصم العمولة من المبلغ"
